source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,location,vehicle_mission,status,source_url,notes,time_role,retrieved_at,cache_source
gcat,1974-Y343,- | Met Sphere | - | -,orbital_launch,1974-10-30T17:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1384,"- | Starute,Datasonde | - | -",orbital_launch,1974-10-31T15:04:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1394,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-04T18:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1396,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-05T15:26:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1402,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-06T14:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1412,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-08T14:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1418,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-11T14:15:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1426,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-13T14:09:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y352,- | Met Sphere | - | -,orbital_launch,1974-11-13T18:00:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1438,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-15T14:00:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1445,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-18T14:12:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1456,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-20T17:00:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1459,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-20T18:03:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-A55,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-21T15:59:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-093,AC-32 | Intelsat 4 F-8 | INTELSAT IV F8 | -,orbital_launch,1974-11-21T23:43:59Z,second,GCAT Launch_Date (UTC; first motion),OS,LC36B,CC,Atlas SLV-3D Centaur - | AC-32 | Intelsat 4 F-8 | INTELSAT IV F8 | -,OS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-094,591/D105 | Skynet 2B | Skynet IIB | -,orbital_launch,1974-11-23T00:28:01Z,second,GCAT Launch_Date (UTC; first motion),OS,LC17B,CC,Delta 2313 - | 591/D105 | Skynet 2B | Skynet IIB | -,OS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1472,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-25T15:59:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1481,"- | Starute,Datasonde | - | -",orbital_launch,1974-11-27T14:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y360,- | Met Sphere | - | -,orbital_launch,1974-11-27T17:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
