name,slug,launch_designator,SLC,success,net,window_start,window_end
Falcon 9 Block 5 | Starlink Group 6-4,falcon-9-block-5-starlink-group-6-4,2023-079,Space Launch Complex 40,True,2023-06-04T12:20:00Z,2023-06-04 09:56:00+00:00,2023-06-04 12:20:00+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-28,falcon-9-block-5-dragon-crs-2-spx-28,2023-080,Launch Complex 39A,True,2023-06-05T15:47:00Z,2023-06-05 15:47:00+00:00,2023-06-05 15:47:00+00:00
Falcon 9 Block 5 | Starlink Group 5-11,falcon-9-block-5-starlink-group-5-11,2023-083,Space Launch Complex 40,True,2023-06-12T07:10:50Z,2023-06-12 07:10:50+00:00,2023-06-12 08:52:00+00:00
Falcon 9 Block 5 | Satria-1,falcon-9-block-5-satria-1,2023-086,Space Launch Complex 40,True,2023-06-18T22:21:00Z,2023-06-18 22:04:00+00:00,2023-06-19 01:02:00+00:00
Delta IV Heavy | NROL-68,delta-iv-heavy-nrol-68,2023-089,Space Launch Complex 40,True,2023-06-22T09:18:00Z,2023-06-22 07:00:00+00:00,2023-06-22 11:45:00+00:00
Falcon 9 Block 5 | Starlink Group 5-12,falcon-9-block-5-starlink-group-5-12,2023-090,Space Launch Complex 40,True,2023-06-23T15:35:10Z,2023-06-23 13:56:10+00:00,2023-06-23 15:35:10+00:00
Falcon 9 Block 5 | Euclid,falcon-9-block-5-euclid,2023-092,Space Launch Complex 40,True,2023-07-01T15:12:00Z,2023-07-01 15:12:00+00:00,2023-07-01 15:12:00+00:00
Falcon 9 Block 5 | Starlink Group 6-5,falcon-9-block-5-starlink-group-6-5,2023-096,Space Launch Complex 40,True,2023-07-10T03:58:50Z,2023-07-10 03:58:50+00:00,2023-07-10 03:58:50+00:00
Falcon 9 Block 5 | Starlink Group 5-15,falcon-9-block-5-starlink-group-5-15,2023-099,Space Launch Complex 40,True,2023-07-16T03:50:00Z,2023-07-16 03:50:00+00:00,2023-07-16 03:50:00+00:00
Falcon 9 Block 5 | Starlink Group 6-6,falcon-9-block-5-starlink-group-6-6,2023-105,Space Launch Complex 40,True,2023-07-24T00:50:30Z,2023-07-23 23:09:20+00:00,2023-07-24 02:31:00+00:00
Falcon 9 Block 5 | Starlink Group 6-7,falcon-9-block-5-starlink-group-6-7,2023-107,Space Launch Complex 40,True,2023-07-28T04:01:10Z,2023-07-28 02:20:10+00:00,2023-07-28 04:01:10+00:00
Falcon Heavy | EchoStar 24/Jupiter-3,falcon-heavy-echostar-24jupiter-3,2023-108,Launch Complex 39A,True,2023-07-29T03:04:00Z,2023-07-29 03:04:00+00:00,2023-07-29 04:43:00+00:00
Falcon 9 Block 5 | Galaxy 37,falcon-9-block-5-galaxy-37,2023-112,Space Launch Complex 40,True,2023-08-03T05:00:00Z,2023-08-03 04:15:00+00:00,2023-08-03 06:15:00+00:00
Falcon 9 Block 5 | Starlink Group 6-8,falcon-9-block-5-starlink-group-6-8,2023-113,Space Launch Complex 40,True,2023-08-07T02:41:10Z,2023-08-07 01:00:00+00:00,2023-08-07 04:22:00+00:00
Falcon 9 Block 5 | Starlink Group 6-9,falcon-9-block-5-starlink-group-6-9,2023-119,Space Launch Complex 40,True,2023-08-11T05:17:40Z,2023-08-11 05:17:40+00:00,2023-08-11 05:17:40+00:00
Falcon 9 Block 5 | Starlink Group 6-10,falcon-9-block-5-starlink-group-6-10,2023-122,Space Launch Complex 40,True,2023-08-17T03:36:50Z,2023-08-17 00:14:50+00:00,2023-08-17 04:00:00+00:00
Electron | We Love the Nightlife (Capella Acadia 1),electron-we-love-the-nightlife-capella-acadia-1,2023-126,Space Launch Complex 41,True,2023-08-23T23:45:00Z,2023-08-23 23:30:00+00:00,2023-08-24 03:30:00+00:00
Falcon 9 Block 5 | Crew-7,falcon-9-block-5-crew-7,2023-128,Launch Complex 39A,True,2023-08-26T07:27:27Z,2023-08-26 07:27:27+00:00,2023-08-26 07:27:27+00:00
Falcon 9 Block 5 | Starlink Group 6-11,falcon-9-block-5-starlink-group-6-11,2023-129,Space Launch Complex 40,True,2023-08-27T01:05:40Z,2023-08-27 01:05:40+00:00,2023-08-27 03:04:30+00:00
Falcon 9 Block 5 | Starlink Group 6-13,falcon-9-block-5-starlink-group-6-13,2023-131,Space Launch Complex 40,True,2023-09-01T02:21:50Z,2023-08-31 23:52:20+00:00,2023-09-01 03:12:20+00:00
Falcon 9 Block 5 | Starlink Group 6-12,falcon-9-block-5-starlink-group-6-12,2023-134,Launch Complex 39A,True,2023-09-04T02:47:20Z,2023-09-03 23:34:00+00:00,2023-09-04 03:05:30+00:00
Falcon 9 Block 5 | Starlink Group 6-14,falcon-9-block-5-starlink-group-6-14,2023-138,Space Launch Complex 40,True,2023-09-09T03:12:50Z,2023-09-08 23:56:10+00:00,2023-09-09 03:30:30+00:00
Atlas V 551 | NROL-107 (Silent Barker),atlas-v-551-nrol-107-silent-barker,2023-140,Space Launch Complex 40,True,2023-09-10T12:47:00Z,2023-09-10 12:47:00+00:00,2023-09-10 14:35:00+00:00
