event_id,launch_designator,mission,pad
ksc-cb6a8a934efd,2017-022,Falcon 9 Full Thrust | NROL-76,SLC-39A
ksc-4824fa475ec5,2017-025,Falcon 9 Full Thrust | Inmarsat-5 F4,SLC-39A
ksc-25b76fac2813,2017-030,Falcon 9 Full Thrust | SpX CRS-11,SLC-39A
ksc-427594bdbe15,2017-038,Falcon 9 Full Thrust | BulgariaSat-1,SLC-39A
ksc-e0cad9eb2a42,2017-041,Falcon 9 Full Thrust | Intelsat 35e,SLC-39A
ksc-9fc8a4c035dc,2017-045,Falcon 9 Block 4 | SpX CRS-12,SLC-39A
ksc-93cbd453a6fc,2017-047,Atlas V 401 | TDRS-M,SLC-41
ksc-fa8fc794845f,2017-050,Minotaur IV | ORS-5,SLC-46
ksc-c64672d650d9,2017-052,Falcon 9 Block 4 | OTV-5 (X-37B),SLC-39A
ksc-dbe52659178b,2017-063,Falcon 9 Full Thrust | Echostar 105/SES-11,SLC-39A
ksc-c0294499f127,2017-066,Atlas V 421 | NROL-52,SLC-41
ksc-b7b92c115d6b,2017-067,Falcon 9 Block 4 | Koreasat 5A,SLC-39A
ksc-48a1d467b91f,2017-080,Falcon 9 Full Thrust | SpX CRS-13,SLC-40
ksc-3c0b80b135cf,2018-001,Falcon 9 Block 4 | Zuma,SLC-40
ksc-c216f118f0c7,2018-009,Atlas V 411 | SBIRS GEO Flight 4 (SBIRS GEO-3),SLC-41
ksc-c040c221d0a2,2018-013,Falcon 9 Full Thrust | GovSat (SES-16),SLC-40
ksc-00f4ad9fda57,2018-017,Falcon Heavy | Demo (Test Flight),SLC-39A
ksc-6105e93e606b,2018-022,Atlas V 541 | GOES-S,SLC-41
ksc-6df8dbe128bd,2018-023,Falcon 9 Block 4 | Hispasat 30W-6 (Hispasat 1F),SLC-40
ksc-8edffa65bd17,2018-032,Falcon 9 Block 4 | SpX CRS-14,SLC-40
ksc-55d611b97b7b,2018-036,Atlas V 551 | AFSPC-11,SLC-41
ksc-27e107673734,2018-038,Falcon 9 Block 4 | TESS (Transiting Exoplanet Survey Satellite),SLC-40
ksc-1f57c3ae020a,2018-044,Falcon 9 Block 5 | Bangabandhu-1,SLC-39A
ksc-b59020fe5a5f,2018-049,Falcon 9 Block 4 | SES-12,SLC-40
ksc-250f16337fa0,2018-055,Falcon 9 Block 4 | SpX CRS-15,SLC-40
ksc-5650fb2434f9,2018-059,Falcon 9 Block 5 | Telstar 19 VANTAGE,SLC-40
ksc-db67534f3a1f,2018-064,Falcon 9 Block 5 | Merah Putih (Telkom-4),SLC-40
ksc-213bb577c3dc,2018-065,Delta IV Heavy | Parker Solar Probe,SLC-37B
ksc-35f420e0bf95,2018-069,Falcon 9 Block 5 | Telstar 18 VANTAGE,SLC-40
ksc-9bda610c6dc9,2018-079,Atlas V 551 | AEHF-4 (USA 288),SLC-41
ksc-bfeaac1d853d,2018-090,Falcon 9 Block 5 | Es'hail 2,SLC-39A
ksc-aab48c178427,2018-101,Falcon 9 Block 5 | SpX CRS-16,SLC-40
ksc-e07c7f0c08f1,2018-109,Falcon 9 Block 5 | GPS III SV01,SLC-40
ksc-81b63edcd1c7,2019-009,"Falcon 9 Block 5 | Nusantara Satu & GTO-1 (Beresheet, S5)",SLC-40
ksc-1dbbd25c8739,2019-011,Falcon 9 Block 5 | SpX-DM1 (Demonstration Mission 1),SLC-39A
ksc-74d6194e38bd,2019-014,"Delta IV M+(5,4) | WGS-10",SLC-37B
