eventNumber,firstArrivalDatenum,lastArrivalDatenum,firstArrivalEpochS,lastArrivalEpochS,firstArrivalUTC,lastArrivalUTC,meanCorr,stdCorr,meanSecsDiff,stdSecsDiff,bestBackAzimuthDeg,bestSoundSpeedMps,apparentSpeedMps,apparentSpeedErrorMps,reducedPressure1Pa,reducedPressure2Pa,reducedPressure3Pa,infrasoundEnergyJ,seismicEnergyJ,snr1,snr2,snr3,nAssociatedPicks,nNPhasePicks,nInfrasoundChannelPicks,nSeismicChannelPicks
52,736574.552617593,736574.552618623,1472735746.16,1472735746.249,2016-09-01T13:15:46.160,2016-09-01T13:15:46.249,0.870532994667256,0.0375686475100014,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,172.987642209528,177.497995510198,195.958691334489,4557651.95977915,47237.9415277849,6.79589010187942,6.88374553268874,7.50519803902165,6,4,3,3
53,736574.554969109,736574.55496941,1472735949.331,1472735949.357,2016-09-01T13:19:09.331,2016-09-01T13:19:09.357,0.464839040857886,0.150718299427184,-0.0186666666666667,0.123538927738048,175,1030.01033639849,623.452680092066,553.829162345159,36.225256358661,18.4018945612425,12.4188335979632,182306.342973144,214.906584741695,3.95644107345096,3.05279935147954,2.41848092166176,3,3,2,1
54,736574.554989838,736574.55499081,1472735951.122,1472735951.206,2016-09-01T13:19:11.122,2016-09-01T13:19:11.206,0.533387915559573,0.185292973667565,-0.00133333333333333,0.0527434040109914,196,519.745492634226,469.690768840616,70.3868093235431,20.1974170453895,34.7804331358228,23.4130649557252,133356.474269694,2057.30245465924,2.73167668454531,6.67617068911396,4.70463972122555,5,3,3,2
55,736574.554992569,736574.554992685,1472735951.358,1472735951.368,2016-09-01T13:19:11.358,2016-09-01T13:19:11.368,0.332008168124579,0.0524163906063387,0.0306666666666667,0.164120281094893,192.7,477.934706722611,400.261693900923,546.163797959314,30.6658111957031,18.1039575488408,12.3886811698355,33774.8309161677,1994.37974809936,2.90564172237345,5.35182720913143,3.41510416294791,2,2,2,0
56,736574.554995602,736574.554995625,1472735951.62,1472735951.622,2016-09-01T13:19:11.620,2016-09-01T13:19:11.622,0.448730978887365,0.128014300351692,-0.0186666666666667,0.0854041372924443,53.4,686.729258745024,-291.378439146646,762.10000031527,24.4110479992512,14.3833044211953,15.7775424636734,53975.2640053388,1831.46231886671,3.18266826807572,4.70876795806185,4.34179129027839,2,2,2,0
57,736574.555012373,736574.555013391,1472735953.069,1472735953.157,2016-09-01T13:19:13.069,2016-09-01T13:19:13.157,0.773067611575227,0.0799396306224449,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,79.5486797294367,87.7508739699433,88.0892401750285,1238959.06284719,10882.0029384799,4.22241628634365,6.0962353598194,6.0476691016773,6,4,3,3
58,736574.555014606,736574.555014664,1472735953.262,1472735953.267,2016-09-01T13:19:13.262,2016-09-01T13:19:13.267,0.715083655020453,0.0825886468854534,0.126666666666667,0.0510163372525573,235.9,22.2286104087558,20.9884888519293,241.536755224477,53.9725220475901,40.2265548243566,40.7799971324857,280967.299906264,9745.08056229382,2.60460409848964,2.80789004866524,2.77764361725983,2,2,2,0
59,736574.555020104,736574.555021146,1472735953.737,1472735953.827,2016-09-01T13:19:13.737,2016-09-01T13:19:13.827,0.693492203256981,0.125432456843282,-0.00066666666666666,0.0678075708654031,199,395.228398839737,391.39922495251,8.67850474937834,53.5946641061976,42.5000758689083,37.236059875498,479907.246794146,2690.61851616972,3.97975201210501,4.72188233336566,4.5525681412737,3,3,3,0
60,736574.555029201,736574.555030197,1472735954.523,1472735954.609,2016-09-01T13:19:14.523,2016-09-01T13:19:14.609,0.829935242677233,0.0945692660455547,6.93889390390723e-18,0.0755989417915357,200.1,349.518061184628,362.534079136248,21.0820864748052,102.763440763175,109.771117421386,105.635648577354,2448610.83167659,41798.9787967343,5.29186812793084,5.50283308630008,5.57057940792096,6,4,3,3
61,736574.555037176,736574.555038218,1472735955.212,1472735955.302,2016-09-01T13:19:15.212,2016-09-01T13:19:15.302,0.778665391892262,0.118045260809197,6.93889390390723e-18,0.0739296963337467,199.9,358.560731511194,368.491067626336,14.1773853213189,92.854774757759,77.5199092753116,77.7911762838085,1347449.50532949,23555.8056106986,5.78788785880358,5.39686294010566,5.41641175823779,3,3,3,0
